record_id,field_name,well_id,well_name,operator_name,operator_address,operator_phone,sensor_type,sensor_id,reading_value,reading_unit,production_date,product_type,volume_bbl,revenue_usd
1,Alberta Field A,ALB-W01,A-1,Shell Canada,"400 Petro Rd, Calgary",403-555-4444,Flow Rate,ALB-W01-F-1,1082.55,bbl/day,2025-07-08,Condensate,388.55,24912.11
2,Alberta Field A,ALB-W01,A-1,Shell Canada,"400 Petro Rd, Calgary",403-555-4444,Temperature,ALB-W01-T-2,2168.25,°C,2025-08-23,Gas,165.95,15069.3
3,Alberta Field A,ALB-W01,A-1,Shell Canada,"400 Petro Rd, Calgary",403-555-4444,Pressure,ALB-W01-P-3,1965.17,psi,2025-07-24,Gas,256.58,16018.73
4,Alberta Field A,ALB-W02,A-2,Shell Canada,"400 Petro Rd, Calgary",403-555-4444,Temperature,ALB-W02-T-3,1756.31,°C,2025-07-04,Condensate,593.23,46505.09
5,Alberta Field A,ALB-W02,A-2,Shell Canada,"400 Petro Rd, Calgary",403-555-4444,Pressure,ALB-W02-P-1,1349.2,psi,2025-07-12,Condensate,174.77,12134.79
6,Alberta Field A,ALB-W02,A-2,Shell Canada,"400 Petro Rd, Calgary",403-555-4444,Pressure,ALB-W02-P-3,2932.26,psi,2025-07-04,Gas,157.55,9387.42
7,Alberta Field A,ALB-W03,A-3,Shell Canada,"400 Petro Rd, Calgary",403-555-4444,Flow Rate,ALB-W03-F-3,2275.23,bbl/day,2025-07-12,Oil,218.12,20426.2
8,Alberta Field A,ALB-W03,A-3,Shell Canada,"400 Petro Rd, Calgary",403-555-4444,Temperature,ALB-W03-T-2,1687.41,°C,2025-07-16,Oil,422.13,35226.73
9,Alberta Field A,ALB-W03,A-3,Shell Canada,"400 Petro Rd, Calgary",403-555-4444,Pressure,ALB-W03-P-3,2020.88,psi,2025-07-30,Condensate,512.2,33254.01
10,Alberta Field A,ALB-W04,A-4,Shell Canada,"400 Petro Rd, Calgary",403-555-4444,Pressure,ALB-W04-P-1,1134.36,psi,2025-07-04,Gas,289.88,25251.46
11,Alberta Field A,ALB-W04,A-4,Shell Canada,"400 Petro Rd, Calgary",403-555-4444,Flow Rate,ALB-W04-F-3,1386.65,bbl/day,2025-07-20,Oil,295.83,20091.35
12,Alberta Field A,ALB-W04,A-4,Shell Canada,"400 Petro Rd, Calgary",403-555-4444,Flow Rate,ALB-W04-F-2,2860.25,bbl/day,2025-07-04,Condensate,475.4,34369.12
13,Alberta Field A,ALB-W05,A-5,Shell Canada,"400 Petro Rd, Calgary",403-555-4444,Temperature,ALB-W05-T-3,2651.03,°C,2025-08-09,Oil,407.45,36044.85
14,Alberta Field A,ALB-W05,A-5,Shell Canada,"400 Petro Rd, Calgary",403-555-4444,Flow Rate,ALB-W05-F-2,2124.93,bbl/day,2025-08-27,Condensate,292.83,15750.53
15,Alberta Field A,ALB-W05,A-5,Shell Canada,"400 Petro Rd, Calgary",403-555-4444,Flow Rate,ALB-W05-F-3,2946.71,bbl/day,2025-08-25,Condensate,120.3,6255.07
